Factor,Asset
CN_Growth_Level,沪深300指数
CN_Growth_Level,中证小盘500指数
CN_Growth_Level,中证1000指数
CN_Growth_Level,上证科创板50成份指数
CN_Growth_Level,创业板指数
CN_Growth_Level,标普中国A股大盘红利低波50指数
CN_Growth_Level,中证红利质量指数
CN_Growth_Level,上证5年期国债指数
CN_Growth_Level,上证10年期国债指数(净价)
CN_Growth_Level,中债-30年期国债指数
CN_Growth_Level,中债-中高等级公司债利差因子指数
CN_Growth_Level,上证基准做市公司债指数
CN_Growth_Level,中证可转债及可交换债券指数
CN_Growth_Level,上海期货交易所有色金属期货价格指数
CN_Growth_Level,大连商品交易所豆粕期货价格指数
CN_Growth_Level,易盛能化A
CN_Growth_Level,SGE黄金999
CN_Inflation_Level,沪深300指数
CN_Inflation_Level,中证小盘500指数
CN_Inflation_Level,中证1000指数
CN_Inflation_Level,上证科创板50成份指数
CN_Inflation_Level,创业板指数
CN_Inflation_Level,标普中国A股大盘红利低波50指数
CN_Inflation_Level,中证红利质量指数
CN_Inflation_Level,上证5年期国债指数
CN_Inflation_Level,上证10年期国债指数(净价)
CN_Inflation_Level,中债-30年期国债指数
CN_Inflation_Level,中债-中高等级公司债利差因子指数
CN_Inflation_Level,上证基准做市公司债指数
CN_Inflation_Level,中证可转债及可交换债券指数
CN_Inflation_Level,上海期货交易所有色金属期货价格指数
CN_Inflation_Level,大连商品交易所豆粕期货价格指数
CN_Inflation_Level,易盛能化A
CN_Inflation_Level,SGE黄金999
US_Inflation_Level,沪深300指数
US_Inflation_Level,中证小盘500指数
US_Inflation_Level,中证1000指数
US_Inflation_Level,上证科创板50成份指数
US_Inflation_Level,创业板指数
US_Inflation_Level,标普中国A股大盘红利低波50指数
US_Inflation_Level,中证红利质量指数
US_Inflation_Level,上证5年期国债指数
US_Inflation_Level,上证10年期国债指数(净价)
US_Inflation_Level,中债-30年期国债指数
US_Inflation_Level,中债-中高等级公司债利差因子指数
US_Inflation_Level,上证基准做市公司债指数
US_Inflation_Level,中证可转债及可交换债券指数
US_Inflation_Level,上海期货交易所有色金属期货价格指数
US_Inflation_Level,大连商品交易所豆粕期货价格指数
US_Inflation_Level,易盛能化A
US_Inflation_Level,SGE黄金999
US_Growth_Level,沪深300指数
US_Growth_Level,中证小盘500指数
US_Growth_Level,中证1000指数
US_Growth_Level,上证科创板50成份指数
US_Growth_Level,创业板指数
US_Growth_Level,标普中国A股大盘红利低波50指数
US_Growth_Level,中证红利质量指数
US_Growth_Level,上证5年期国债指数
US_Growth_Level,上证10年期国债指数(净价)
US_Growth_Level,中债-30年期国债指数
US_Growth_Level,中债-中高等级公司债利差因子指数
US_Growth_Level,上证基准做市公司债指数
US_Growth_Level,中证可转债及可交换债券指数
US_Growth_Level,上海期货交易所有色金属期货价格指数
US_Growth_Level,大连商品交易所豆粕期货价格指数
US_Growth_Level,易盛能化A
US_Growth_Level,SGE黄金999
CN_RiskAppetite_Level,沪深300指数
CN_RiskAppetite_Level,中证小盘500指数
CN_RiskAppetite_Level,中证1000指数
CN_RiskAppetite_Level,上证科创板50成份指数
CN_RiskAppetite_Level,创业板指数
CN_RiskAppetite_Level,标普中国A股大盘红利低波50指数
CN_RiskAppetite_Level,中证红利质量指数
CN_RiskAppetite_Level,上证5年期国债指数
CN_RiskAppetite_Level,上证10年期国债指数(净价)
CN_RiskAppetite_Level,中债-30年期国债指数
CN_RiskAppetite_Level,中债-中高等级公司债利差因子指数
CN_RiskAppetite_Level,上证基准做市公司债指数
CN_RiskAppetite_Level,中证可转债及可交换债券指数
CN_RiskAppetite_Level,上海期货交易所有色金属期货价格指数
CN_RiskAppetite_Level,大连商品交易所豆粕期货价格指数
CN_RiskAppetite_Level,易盛能化A
CN_RiskAppetite_Level,SGE黄金999
CN_Monetary_Level,沪深300指数
CN_Monetary_Level,中证小盘500指数
CN_Monetary_Level,中证1000指数
CN_Monetary_Level,上证科创板50成份指数
CN_Monetary_Level,创业板指数
CN_Monetary_Level,标普中国A股大盘红利低波50指数
CN_Monetary_Level,中证红利质量指数
CN_Monetary_Level,上证5年期国债指数
CN_Monetary_Level,上证10年期国债指数(净价)
CN_Monetary_Level,中债-30年期国债指数
CN_Monetary_Level,中债-中高等级公司债利差因子指数
CN_Monetary_Level,上证基准做市公司债指数
CN_Monetary_Level,中证可转债及可交换债券指数
CN_Monetary_Level,上海期货交易所有色金属期货价格指数
CN_Monetary_Level,大连商品交易所豆粕期货价格指数
CN_Monetary_Level,易盛能化A
CN_Monetary_Level,SGE黄金999
