,CN_Growth_Change,CN_Inflation_Change,US_Inflation_Change,US_Growth_Change,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,0.006693158807726322,-0.0014932286860657364,-0.005858542711802443,0.00639621350002849,-0.0014342570953382102,0.001485676918871753
中证小盘500指数,0.004170926907697728,0.007446751788334838,-0.0029971323246219825,0.005632017118915009,0.0005758791164426477,0.000704450640303991
中证1000指数,0.0023247189396694186,0.011195082371334203,-0.0027670998034025956,0.0012719807892832978,0.002344936251220105,0.001571231961249052
上证科创板50成份指数,0.009322034635785903,0.005638110784714765,0.002517770323688342,-0.006753200163240512,0.003888054330784204,-0.00473417545220711
创业板指数,0.002652370053515147,0.010982892115274537,-0.005855747672363437,0.0029590203481757735,0.0014132425671119677,-0.002703761190334661
标普中国A股大盘红利低波50指数,0.006257518176709433,-0.0034692773949809713,-0.0035169962603944583,0.010407372194728946,-0.0006554786332777735,0.004004527768826023
中证红利质量指数,0.0053090666414256395,0.002803550983443886,-0.0034234165744527296,0.002475510085854513,0.0030340006428090337,0.0007682001579231521
上证5年期国债指数,-0.0017841282365069196,-0.0025150999008923163,-0.0018762330025237294,-0.002322514230162766,-0.0004299655173060417,-0.001279401347031585
上证10年期国债指数(净价),-0.0024398184473605287,-0.0032460751450678915,-0.0021014447039618923,-0.002758025688830215,-0.00027598280569304464,-0.001359698592168629
中债-30年期国债指数,-0.006843229846359447,-0.006595853884069997,-0.0038936582480208434,-0.0034169125427818314,-0.0005792903954360928,-0.00231231449951745
中债-中高等级公司债利差因子指数,-0.000614744503991081,-0.0010519316593152485,-0.0008734253506888655,-0.0014826847669303113,-0.0002171854386654181,-0.0004813397484084595
上证基准做市公司债指数,0.0005289494235090784,-2.1364984421975862e-05,1.535841290480129e-06,-8.016004838711367e-05,0.00019504842531031265,-0.0002957615422910778
中证可转债及可交换债券指数,-0.0007923160587664981,-0.006940771363904713,-0.00691937207629908,0.006997920195578178,-0.0010184056893727054,-0.0004167038962223338
上海期货交易所有色金属期货价格指数,0.010870334917336208,0.004626111639686963,0.005445137056196123,0.002709924316050115,-0.0003635038952444336,0.0017211837029657432
大连商品交易所豆粕期货价格指数,-0.0016426760438619436,0.0030530059057950892,0.009599453140189127,0.008061428735062326,0.001876791464904946,-0.0011869998497290191
易盛能化A,0.006606403773075848,0.004655452408308736,0.007484569984399971,0.014793819917318964,-0.0010974094520533407,0.0033742561459891357
SGE黄金999,-0.0002605786917199422,0.002104650234257581,0.0015873330192927807,-0.0009417717530010921,0.0034836862929939626,0.004875149912636278
