,CN_Monetary_Change,CN_Inflation_Change,CN_RiskAppetite_Change
沪深300指数,-0.0026958392349883623,-0.004852402500499705,-0.002074610896348183
中证小盘500指数,0.00012107894587255318,0.005029572944572817,0.00029705763663407563
中证1000指数,0.00020901654796382473,0.008939098793777463,0.0018808348175961029
上证科创板50成份指数,0.006714007304612804,0.0055167060054727435,0.004969028617739499
创业板指数,0.004152839660438135,0.00754779967504705,0.0013543332873800606
标普中国A股大盘红利低波50指数,-0.00521665437044593,-0.005941265336089261,-0.0013750013465572588
中证红利质量指数,-0.00038661854639422503,-0.0013989207750896258,0.002558883782154448
上证5年期国债指数,0.0010455725825738672,-0.0010722749819863982,-0.00031326873450280635
上证10年期国债指数(净价),0.0010828067844481197,-0.0015719721684494172,-0.0001744238075304404
中债-30年期国债指数,0.001471885712002002,-0.004817376639814068,-0.0004994437238974416
中债-中高等级公司债利差因子指数,0.00036310876915289573,-0.0005549572832583862,-0.00015008583590527214
上证基准做市公司债指数,0.00036446568903266156,8.695042181696799e-05,0.00024038647351867077
中证可转债及可交换债券指数,-0.0008703628899705226,-0.006675909350699283,-0.0012211372831541548
上海期货交易所有色金属期货价格指数,-0.0013167945310768904,0.0032033528561678315,-0.00033545159790248925
大连商品交易所豆粕期货价格指数,0.0013614558031710662,-0.0017255291791100228,0.001876107912297561
易盛能化A,-0.0030277967029462283,0.003464309703514131,-0.0007555200619432567
SGE黄金999,-0.0037844952356945074,0.002949638937823362,0.002795500093769325
