,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,0.006585347779041285,0.0013335911530264004
中证小盘500指数,0.004526264146107115,0.0035055782191579137
中证1000指数,0.004293129079288587,0.0035030284245598908
上证科创板50成份指数,0.005810181225555675,-0.0036316366417117754
创业板指数,0.007492387902998263,0.00402583784126776
标普中国A股大盘红利低波50指数,0.005707875072205352,0.001460339699464051
中证红利质量指数,0.008427348442652778,0.0018692907821720906
上证5年期国债指数,-0.000364964975235037,0.0023356819411280844
上证10年期国债指数(净价),-0.0008602307303448167,0.002321028652175678
中债-30年期国债指数,-0.0026305893481453806,0.004280680481045016
中债-中高等级公司债利差因子指数,-0.0005693947839287116,0.001332253933852804
上证基准做市公司债指数,-6.687107859678485e-05,0.0003566350299765834
中证可转债及可交换债券指数,0.001248230288026785,0.005793802630883445
上海期货交易所有色金属期货价格指数,0.004302142459901746,-0.005373330747554191
大连商品交易所豆粕期货价格指数,0.003130129219175404,0.00023093362544600576
易盛能化A,0.0017399484691610467,-0.004652250810624542
SGE黄金999,0.0032038985210063814,0.0028548450604257486
