,CN_Growth_Level,CN_Inflation_Level
沪深300指数,0.005730661481068046,-0.011151901372495159
中证小盘500指数,0.0020199487806518155,-0.011673311593999954
中证1000指数,-0.0034490934120948763,-0.012191591623955505
上证科创板50成份指数,0.0022695464833958953,-0.006517901731560964
创业板指数,0.00019450787078799034,-0.019099060262260888
标普中国A股大盘红利低波50指数,0.00886007991846913,-0.009499254581093238
中证红利质量指数,-2.7297339952135798e-05,-0.006999423614554373
上证5年期国债指数,-0.00027018082606569904,-0.0006920207609507796
上证10年期国债指数(净价),0.00027887822090057673,-0.0013853624680846724
中债-30年期国债指数,0.001227499923165158,-0.004324610254632687
中债-中高等级公司债利差因子指数,-0.0001186505225470553,-0.0005758011514490025
上证基准做市公司债指数,0.0003068002979916662,-0.00046929955675856905
中证可转债及可交换债券指数,0.007278879963088063,-0.007227231532633247
上海期货交易所有色金属期货价格指数,0.00785293061326987,-0.0006133216587624411
大连商品交易所豆粕期货价格指数,0.0016747675174953458,-0.0008115446887793985
易盛能化A,0.013096801642405327,0.00026398143050295354
SGE黄金999,-0.003536978013954488,-0.0005894030651664977
