,ResidVar_Monthly,ResidStd_Monthly,ResidStd_Annualized,R2,Nobs
沪深300指数,0.0038929340283704985,0.06239338128656355,0.21613701288869053,0.020055041519106864,191.0
中证小盘500指数,0.005030978604839926,0.07092939168525221,0.24570662029762058,0.02103870653164619,191.0
中证1000指数,0.006422763168115536,0.08014214352084387,0.27762052881115695,0.02623193640053678,191.0
上证科创板50成份指数,0.0028837096852227595,0.05370018328853971,0.18602289166302385,0.010230753007222204,191.0
创业板指数,0.007957247892949488,0.08920340740660912,0.3090096676730258,0.03979151279849702,191.0
标普中国A股大盘红利低波50指数,0.0030677595804953525,0.05538735939269314,0.19186744113044357,0.017295810332679018,191.0
中证红利质量指数,0.004085423374028214,0.06391731669921864,0.22141608001303467,0.01084985093170554,191.0
上证5年期国债指数,4.727588559798859e-05,0.0068757461848143134,0.023818283464092517,0.01279186742573546,191.0
上证10年期国债指数(净价),7.921958097621195e-05,0.0089005382408151,0.030832368895602934,0.01847011077502192,191.0
中债-30年期国债指数,0.000316700691688797,0.017796086414962053,0.0616474516932011,0.04144172187931949,191.0
中债-中高等级公司债利差因子指数,1.3858045149823186e-05,0.0037226395406785204,0.012895601645440131,0.02537568955839098,191.0
上证基准做市公司债指数,4.665987805185217e-06,0.0021600897678534605,0.00748277045366371,0.027927352564230956,191.0
中证可转债及可交换债券指数,0.0017578968769785884,0.04192728082023193,0.14524036120769962,0.017734785961917354,191.0
上海期货交易所有色金属期货价格指数,0.0015761852584369616,0.039701199710297945,0.13752899003934965,0.015538332880899564,191.0
大连商品交易所豆粕期货价格指数,0.002313444739714931,0.04809828208694081,0.16661733666272296,0.0003659642296504062,191.0
易盛能化A,0.003497249884321501,0.05913755054380847,0.2048584843540975,0.022679895243158166,191.0
SGE黄金999,0.0017435040014513081,0.04175528710775808,0.14464455751052543,0.004356495431516394,191.0
